Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x05_Female","JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical",193.903600,-114.706400,180.000000,bottom
"J2","Conn_01x02_Female","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",202.006200,-83.362800,0.000000,bottom
